"","Bat1","Runs","BF","SR","4s","6s","Opposition","Ground","Start Date","Match_ID","Batsman","Player_ID"
"1","DNB","-","-","-","-","-","v India","Nagpur","18 Dec 2009","ODI # 2933","Oshane Thomas",49619
"2","DNB","-","-","-","-","-","v India","Kolkata","24 Dec 2009","ODI # 2935","Oshane Thomas",49619
"3","DNB","-","-","-","-","-","v India","Delhi","27 Dec 2009","ODI # 2936","Oshane Thomas",49619
"4","DNB","-","-","-","-","-","v Bangladesh","Dhaka","4 Jan 2010","ODI # 2937","Oshane Thomas",49619
"5","DNB","-","-","-","-","-","v India","Dhaka","5 Jan 2010","ODI # 2938","Oshane Thomas",49619
"6","0*","0","8","0.00","0","0","v India","Dhaka","10 Jan 2010","ODI # 2941","Oshane Thomas",49619
"7","0*","0","0","-","0","0","v England","The Oval","28 Jun 2011","ODI # 3165","Oshane Thomas",49619
"8","DNB","-","-","-","-","-","v England","Leeds","1 Jul 2011","ODI # 3167","Oshane Thomas",49619
"9","DNB","-","-","-","-","-","v England","Lord's","3 Jul 2011","ODI # 3168","Oshane Thomas",49619
"10","1*","1","3","33.33","0","0","v England","Nottingham","6 Jul 2011","ODI # 3169","Oshane Thomas",49619
"11","0*","0","2","0.00","0","0","v Australia","Pallekele","10 Aug 2011","ODI # 3175","Oshane Thomas",49619
"12","0","0","2","0.00","0","0","v Pakistan","Dubai (DSC)","11 Nov 2011","ODI # 3212","Oshane Thomas",49619
"13","0*","0","0","-","0","0","v India","Dhaka","13 Mar 2012","ODI # 3259","Oshane Thomas",49619
"14","0","0","4","0.00","0","0","v Pakistan","Dhaka","15 Mar 2012","ODI # 3260","Oshane Thomas",49619
"15","0","0","1","0.00","0","0","v Bangladesh","Dhaka","20 Mar 2012","ODI # 3265","Oshane Thomas",49619
"16","1","1","5","20.00","0","0","v India","Port of Spain","11 Jul 2013","ODI # 3388","Oshane Thomas",49619
"17","DNB","-","-","-","-","-","v South Africa","Colombo (RPS)","31 Jul 2013","ODI # 3401","Oshane Thomas",49619
"18","1*","1","1","100.00","0","0","v Pakistan","Sharjah","18 Dec 2013","ODI # 3445","Oshane Thomas",49619
"19","2*","2","11","18.18","0","0","v Pakistan","Abu Dhabi","25 Dec 2013","ODI # 3448","Oshane Thomas",49619
"20","DNB","-","-","-","-","-","v Pakistan","Abu Dhabi","27 Dec 2013","ODI # 3450","Oshane Thomas",49619
"21","DNB","-","-","-","-","-","v Bangladesh","Dhaka","22 Feb 2014","ODI # 3471","Oshane Thomas",49619
"22","DNB","-","-","-","-","-","v Pakistan","Fatullah","25 Feb 2014","ODI # 3473","Oshane Thomas",49619
"23","DNB","-","-","-","-","-","v Afghanistan","Dhaka","3 Mar 2014","ODI # 3481","Oshane Thomas",49619
"24","DNB","-","-","-","-","-","v Bangladesh","Dhaka","6 Mar 2014","ODI # 3485","Oshane Thomas",49619
"25","DNB","-","-","-","-","-","v Pakistan","Dhaka","8 Mar 2014","ODI # 3486","Oshane Thomas",49619
"26","DNB","-","-","-","-","-","v Ireland","Dublin","6 May 2014","ODI # 3490","Oshane Thomas",49619
"27","4*","4","5","80.00","0","0","v England","The Oval","22 May 2014","ODI # 3492","Oshane Thomas",49619
"28","DNB","-","-","-","-","-","v England","Pallekele","13 Dec 2014","ODI # 3567","Oshane Thomas",49619
"29","DNB","-","-","-","-","-","v England","Colombo (RPS)","16 Dec 2014","ODI # 3569","Oshane Thomas",49619
"30","0","0","3","0.00","0","0","v New Zealand","Dunedin","23 Jan 2015","ODI # 3588","Oshane Thomas",49619
"31","3","3","5","60.00","0","0","v New Zealand","Dunedin","25 Jan 2015","ODI # 3590","Oshane Thomas",49619
"32","7*","7","17","41.17","0","0","v New Zealand","Christchurch","14 Feb 2015","ODI # 3599","Oshane Thomas",49619
"33","DNB","-","-","-","-","-","v Afghanistan","Dunedin","22 Feb 2015","ODI # 3609","Oshane Thomas",49619
"34","DNB","-","-","-","-","-","v Bangladesh","Melbourne","26 Feb 2015","ODI # 3615","Oshane Thomas",49619
"35","DNB","-","-","-","-","-","v England","Wellington","1 Mar 2015","ODI # 3619","Oshane Thomas",49619
"36","DNB","-","-","-","-","-","v Pakistan","Dambulla","11 Jul 2015","ODI # 3664","Oshane Thomas",49619
"37","1*","1","3","33.33","0","0","v Pakistan","Colombo (RPS)","22 Jul 2015","ODI # 3671","Oshane Thomas",49619
"38","DNB","-","-","-","-","-","v Pakistan","Hambantota","26 Jul 2015","ODI # 3672","Oshane Thomas",49619
"39","1*","1","4","25.00","0","0","v West Indies","Colombo (RPS)","1 Nov 2015","ODI # 3701","Oshane Thomas",49619
"40","DNB","-","-","-","-","-","v West Indies","Colombo (RPS)","4 Nov 2015","ODI # 3702","Oshane Thomas",49619
"41","DNB","-","-","-","-","-","v West Indies","Pallekele","7 Nov 2015","ODI # 3704","Oshane Thomas",49619
"42","8","8","9","88.88","0","0","v New Zealand","Christchurch","26 Dec 2015","ODI # 3714","Oshane Thomas",49619
"43","DNB","-","-","-","-","-","v Ireland","Dublin (Malahide)","18 Jun 2016","ODI # 3749","Oshane Thomas",49619
"44","7","7","8","87.50","0","0","v England","Nottingham","21 Jun 2016","ODI # 3751","Oshane Thomas",49619
"45","DNB","-","-","-","-","-","v England","Birmingham","24 Jun 2016","ODI # 3753","Oshane Thomas",49619
"46","3*","3","4","75.00","0","0","v England","Bristol","26 Jun 2016","ODI # 3755","Oshane Thomas",49619
"47","DNB","-","-","-","-","-","v England","The Oval","29 Jun 2016","ODI # 3757","Oshane Thomas",49619
"48","10","10","23","43.47","1","0","v England","Cardiff","2 Jul 2016","ODI # 3758","Oshane Thomas",49619
"49","0","0","1","0.00","0","0","v Australia","Pallekele","4 Sep 2016","ODI # 3776","Oshane Thomas",49619
"50","DNB","-","-","-","-","-","v Zimbabwe","Harare","14 Nov 2016","ODI # 3804","Oshane Thomas",49619
"51","0","0","1","0.00","0","0","v West Indies","Harare","16 Nov 2016","ODI # 3805","Oshane Thomas",49619
"52","TDNB","-","-","-","-","-","v Zimbabwe","Bulawayo","21 Nov 2016","ODI # 3807","Oshane Thomas",49619
"53","DNB","-","-","-","-","-","v West Indies","Bulawayo","23 Nov 2016","ODI # 3808","Oshane Thomas",49619
"54","DNB","-","-","-","-","-","v Zimbabwe","Bulawayo","27 Nov 2016","ODI # 3810","Oshane Thomas",49619
"55","3","3","12","25.00","0","0","v South Africa","Port Elizabeth","28 Jan 2017","ODI # 3828","Oshane Thomas",49619
"56","2*","2","5","40.00","0","0","v South Africa","Durban","1 Feb 2017","ODI # 3830","Oshane Thomas",49619
"57","0","0","6","0.00","0","0","v South Africa","Johannesburg","4 Feb 2017","ODI # 3831","Oshane Thomas",49619
"58","20*","20","28","71.42","1","1","v South Africa","Centurion","10 Feb 2017","ODI # 3834","Oshane Thomas",49619
"59","8","8","9","88.88","1","0","v Bangladesh","Dambulla","25 Mar 2017","ODI # 3855","Oshane Thomas",49619
"60","0","0","1","0.00","0","0","v Bangladesh","Dambulla","28 Mar 2017","ODI # 3856","Oshane Thomas",49619
"61","2*","2","1","200.00","0","0","v Bangladesh","Colombo (SSC)","1 Apr 2017","ODI # 3858","Oshane Thomas",49619
"62","0","0","3","0.00","0","0","v South Africa","The Oval","3 Jun 2017","ODI # 3877","Oshane Thomas",49619
"63","DNB","-","-","-","-","-","v India","The Oval","8 Jun 2017","ODI # 3882","Oshane Thomas",49619
"64","26","26","34","76.47","3","0","v Pakistan","Cardiff","12 Jun 2017","ODI # 3888","Oshane Thomas",49619
"65","7*","7","9","77.77","1","0","v Pakistan","Dubai (DSC)","13 Oct 2017","ODI # 3922","Oshane Thomas",49619
"66","1","1","2","50.00","0","0","v Pakistan","Abu Dhabi","16 Oct 2017","ODI # 3924","Oshane Thomas",49619
"67","23*","23","30","76.66","3","0","v Pakistan","Sharjah","20 Oct 2017","ODI # 3927","Oshane Thomas",49619
"68","DNB","-","-","-","-","-","v India","Dharamsala","10 Dec 2017","ODI # 3939","Oshane Thomas",49619
"69","11*","11","22","50.00","0","0","v India","Mohali","13 Dec 2017","ODI # 3941","Oshane Thomas",49619
"70","1","1","2","50.00","0","0","v India","Visakhapatnam","17 Dec 2017","ODI # 3942","Oshane Thomas",49619
"71","5*","5","9","55.55","0","0","v Zimbabwe","Dhaka","17 Jan 2018","ODI # 3955","Oshane Thomas",49619
"72","1","1","6","16.66","0","0","v Bangladesh","Dhaka","19 Jan 2018","ODI # 3959","Oshane Thomas",49619
"73","DNB","-","-","-","-","-","v Zimbabwe","Dhaka","21 Jan 2018","ODI # 3962","Oshane Thomas",49619
"74","DNB","-","-","-","-","-","v Bangladesh","Dhaka","25 Jan 2018","ODI # 3965","Oshane Thomas",49619
"75","2","2","4","50.00","0","0","v Bangladesh","Dhaka","27 Jan 2018","ODI # 3967","Oshane Thomas",49619
"76","5","5","16","31.25","1","0","v South Africa","Dambulla","29 Jul 2018","ODI # 4025","Oshane Thomas",49619
"77","7","7","8","87.50","1","0","v South Africa","Dambulla","1 Aug 2018","ODI # 4027","Oshane Thomas",49619
"78","12","12","15","80.00","1","0","v South Africa","Pallekele","5 Aug 2018","ODI # 4029","Oshane Thomas",49619
"79","DNB","-","-","-","-","-","v South Africa","Pallekele","8 Aug 2018","ODI # 4030","Oshane Thomas",49619
"80","DNB","-","-","-","-","-","v South Africa","Colombo (RPS)","12 Aug 2018","ODI # 4031","Oshane Thomas",49619
"81","20","20","25","80.00","1","1","v Bangladesh","Dubai (DSC)","15 Sep 2018","ODI # 4036","Oshane Thomas",49619
"82","DNB","-","-","-","-","-","v India","Guwahati","21 Oct 2018","ODI # 4056","Oshane Thomas",914567
"83","0","0","2","0.00","0","0","v India","Thiruvananthapuram","1 Nov 2018","ODI # 4064","Oshane Thomas",914567
"84","0*","0","2","0.00","0","0","v Bangladesh","Dhaka","9 Dec 2018","ODI # 4071","Oshane Thomas",914567
"85","DNB","-","-","-","-","-","v Bangladesh","Dhaka","11 Dec 2018","ODI # 4072","Oshane Thomas",914567
"86","DNB","-","-","-","-","-","v England","Bridgetown","20 Feb 2019","ODI # 4096","Oshane Thomas",914567
"87","DNB","-","-","-","-","-","v England","Bridgetown","22 Feb 2019","ODI # 4097","Oshane Thomas",914567
"88","TDNB","-","-","-","-","-","v England","St George's","25 Feb 2019","ODI # 4098","Oshane Thomas",914567
"89","0","0","1","0.00","0","0","v England","St George's","27 Feb 2019","ODI # 4099","Oshane Thomas",914567
"90","DNB","-","-","-","-","-","v England","Gros Islet","2 Mar 2019","ODI # 4103","Oshane Thomas",914567
"91","3","3","7","42.85","0","0","v Ireland","Mohali","11 Mar 2011","ODI # 3126","Andre Russell",276298
"92","49","49","46","106.52","2","3","v England","Chennai","17 Mar 2011","ODI # 3135","Andre Russell",276298
"93","0","0","5","0.00","0","0","v India","Chennai","20 Mar 2011","ODI # 3141","Andre Russell",276298
"94","DNB","-","-","-","-","-","v Pakistan","Gros Islet","23 Apr 2011","ODI # 3152","Andre Russell",276298
"95","3","3","9","33.33","0","0","v Pakistan","Bridgetown","28 Apr 2011","ODI # 3154","Andre Russell",276298
"96","92*","92","64","143.75","8","5","v India","North Sound","11 Jun 2011","ODI # 3161","Andre Russell",276298
"97","25","25","14","178.57","3","1","v India","North Sound","13 Jun 2011","ODI # 3162","Andre Russell",276298
"98","DNB","-","-","-","-","-","v India","Kingston","16 Jun 2011","ODI # 3163","Andre Russell",276298
"99","7*","7","3","233.33","1","0","v Bangladesh","Dhaka","13 Oct 2011","ODI # 3198","Andre Russell",276298
"100","DNB","-","-","-","-","-","v Bangladesh","Dhaka","15 Oct 2011","ODI # 3200","Andre Russell",276298
"101","2","2","5","40.00","0","0","v Bangladesh","Chattogram","18 Oct 2011","ODI # 3202","Andre Russell",276298
"102","22","22","20","110.00","2","1","v India","Cuttack","29 Nov 2011","ODI # 3217","Andre Russell",276298
"103","11","11","13","84.61","2","0","v India","Visakhapatnam","2 Dec 2011","ODI # 3219","Andre Russell",276298
"104","40*","40","18","222.22","4","2","v India","Ahmedabad","5 Dec 2011","ODI # 3221","Andre Russell",276298
"105","29","29","24","120.83","1","3","v India","Indore","8 Dec 2011","ODI # 3223","Andre Russell",276298
"106","53","53","42","126.19","5","3","v India","Chennai","11 Dec 2011","ODI # 3224","Andre Russell",276298
"107","1","1","4","25.00","0","0","v Australia","Kingstown","16 Mar 2012","ODI # 3262","Andre Russell",276298
"108","DNB","-","-","-","-","-","v Australia","Kingstown","18 Mar 2012","ODI # 3264","Andre Russell",276298
"109","37","37","42","88.09","3","1","v Australia","Kingstown","20 Mar 2012","ODI # 3266","Andre Russell",276298
"110","34","34","32","106.25","4","0","v Australia","Gros Islet","23 Mar 2012","ODI # 3268","Andre Russell",276298
"111","41","41","33","124.24","6","0","v Australia","Gros Islet","25 Mar 2012","ODI # 3269","Andre Russell",276298
"112","7","7","13","53.84","1","0","v England","Southampton","16 Jun 2012","ODI # 3276","Andre Russell",276298
"113","DNB","-","-","-","-","-","v New Zealand","Kingston","5 Jul 2012","ODI # 3283","Andre Russell",276298
"114","DNB","-","-","-","-","-","v New Zealand","Kingston","7 Jul 2012","ODI # 3285","Andre Russell",276298
"115","42*","42","24","175.00","3","4","v New Zealand","Basseterre","11 Jul 2012","ODI # 3288","Andre Russell",276298
"116","29","29","16","181.25","2","2","v New Zealand","Basseterre","14 Jul 2012","ODI # 3289","Andre Russell",276298
"117","59*","59","40","147.50","6","3","v New Zealand","Basseterre","16 Jul 2012","ODI # 3290","Andre Russell",276298
"118","0","0","3","0.00","0","0","v Bangladesh","Khulna","30 Nov 2012","ODI # 3309","Andre Russell",276298
"119","9","9","15","60.00","1","0","v Bangladesh","Khulna","2 Dec 2012","ODI # 3310","Andre Russell",276298
"120","0","0","4","0.00","0","0","v Bangladesh","Dhaka","8 Dec 2012","ODI # 3313","Andre Russell",276298
"121","43","43","31","138.70","6","1","v Australia","Canberra","6 Feb 2013","ODI # 3332","Andre Russell",276298
"122","18","18","17","105.88","1","1","v Australia","Sydney","8 Feb 2013","ODI # 3333","Andre Russell",276298
"123","4","4","9","44.44","0","0","v Zimbabwe","St George's","22 Feb 2013","ODI # 3337","Andre Russell",276298
"124","DNB","-","-","-","-","-","v Zimbabwe","St George's","24 Feb 2013","ODI # 3339","Andre Russell",276298
"125","6*","6","3","200.00","1","0","v New Zealand","Hamilton","8 Jan 2014","ODI # 3453","Andre Russell",276298
"126","1","1","2","50.00","0","0","v India","Kochi","8 Oct 2014","ODI # 3531","Andre Russell",276298
"127","4","4","6","66.66","0","0","v India","Delhi","11 Oct 2014","ODI # 3533","Andre Russell",276298
"128","46","46","23","200.00","6","3","v India","Dharamsala","17 Oct 2014","ODI # 3535","Andre Russell",276298
"129","19","19","8","237.50","1","2","v South Africa","Durban","16 Jan 2015","ODI # 3579","Andre Russell",276298
"130","0","0","1","0.00","0","0","v South Africa","Johannesburg","18 Jan 2015","ODI # 3583","Andre Russell",276298
"131","16","16","25","64.00","2","0","v South Africa","East London","21 Jan 2015","ODI # 3587","Andre Russell",276298
"132","64*","64","40","160.00","5","5","v South Africa","Port Elizabeth","25 Jan 2015","ODI # 3591","Andre Russell",276298
"133","24","24","12","200.00","4","1","v South Africa","Centurion","28 Jan 2015","ODI # 3593","Andre Russell",276298
"134","27*","27","13","207.69","3","1","v Ireland","Nelson","16 Feb 2015","ODI # 3603","Andre Russell",276298
"135","42*","42","13","323.07","3","4","v Pakistan","Christchurch","21 Feb 2015","ODI # 3608","Andre Russell",276298
"136","DNB","-","-","-","-","-","v Zimbabwe","Canberra","24 Feb 2015","ODI # 3612","Andre Russell",276298
"137","0","0","3","0.00","0","0","v South Africa","Sydney","27 Feb 2015","ODI # 3616","Andre Russell",276298
"138","8","8","8","100.00","0","1","v India","Perth","6 Mar 2015","ODI # 3625","Andre Russell",276298
"139","7","7","8","87.50","0","1","v U.A.E.","Napier","15 Mar 2015","ODI # 3638","Andre Russell",276298
"140","20","20","11","181.81","1","2","v New Zealand","Wellington","21 Mar 2015","ODI # 3643","Andre Russell",276298
"141","41","41","24","170.83","3","3","v Sri Lanka","Colombo (RPS)","1 Nov 2015","ODI # 3701","Andre Russell",276298
"142","13","13","12","108.33","1","1","v Bangladesh","Providence","22 Jul 2018","ODI # 4022","Andre Russell",276298
"143","DNB","-","-","-","-","-","v Bermuda","King City (NW)","20 Aug 2008","ODI # 2746","Kemar Roach",230553
"144","DNB","-","-","-","-","-","v Canada","King City (NW)","22 Aug 2008","ODI # 2749","Kemar Roach",230553
"145","0","0","3","0.00","0","0","v Bangladesh","Roseau","26 Jul 2009","ODI # 2862","Kemar Roach",230553
"146","DNB","-","-","-","-","-","v Bangladesh","Roseau","28 Jul 2009","ODI # 2863","Kemar Roach",230553
"147","10","10","11","90.90","1","0","v Bangladesh","Basseterre","31 Jul 2009","ODI # 2865","Kemar Roach",230553
"148","3","3","8","37.50","0","0","v Australia","Johannesburg","26 Sep 2009","ODI # 2897","Kemar Roach",230553
"149","4","4","10","40.00","0","0","v India","Johannesburg","30 Sep 2009","ODI # 2904","Kemar Roach",230553
"150","0*","0","0","-","0","0","v Australia","Melbourne","7 Feb 2010","ODI # 2950","Kemar Roach",230553
"151","0*","0","0","-","0","0","v Australia","Adelaide","9 Feb 2010","ODI # 2952","Kemar Roach",230553
"152","1*","1","1","100.00","0","0","v Zimbabwe","Providence","4 Mar 2010","ODI # 2967","Kemar Roach",230553
"153","DNB","-","-","-","-","-","v Zimbabwe","Providence","6 Mar 2010","ODI # 2970","Kemar Roach",230553
"154","2*","2","1","200.00","0","0","v Zimbabwe","Kingstown","10 Mar 2010","ODI # 2972","Kemar Roach",230553
"155","DNB","-","-","-","-","-","v Zimbabwe","Kingstown","12 Mar 2010","ODI # 2974","Kemar Roach",230553
"156","DNB","-","-","-","-","-","v Sri Lanka","Colombo (SSC)","31 Jan 2011","ODI # 3092","Kemar Roach",230553
"157","9","9","8","112.50","0","0","v Sri Lanka","Colombo (SSC)","3 Feb 2011","ODI # 3096","Kemar Roach",230553
"158","2*","2","6","33.33","0","0","v South Africa","Delhi","24 Feb 2011","ODI # 3106","Kemar Roach",230553
"159","DNB","-","-","-","-","-","v Netherlands","Delhi","28 Feb 2011","ODI # 3112","Kemar Roach",230553
"160","DNB","-","-","-","-","-","v Bangladesh","Dhaka","4 Mar 2011","ODI # 3118","Kemar Roach",230553
"161","1","1","2","50.00","0","0","v Ireland","Mohali","11 Mar 2011","ODI # 3126","Kemar Roach",230553
"162","0","0","2","0.00","0","0","v England","Chennai","17 Mar 2011","ODI # 3135","Kemar Roach",230553
"163","16","16","43","37.20","2","0","v Pakistan","Dhaka","23 Mar 2011","ODI # 3142","Kemar Roach",230553
"164","DNB","-","-","-","-","-","v Pakistan","Gros Islet","23 Apr 2011","ODI # 3152","Kemar Roach",230553
"165","24","24","40","60.00","2","1","v Pakistan","Gros Islet","25 Apr 2011","ODI # 3153","Kemar Roach",230553
"166","0","0","6","0.00","0","0","v Pakistan","Bridgetown","28 Apr 2011","ODI # 3154","Kemar Roach",230553
"167","DNB","-","-","-","-","-","v Pakistan","Bridgetown","2 May 2011","ODI # 3155","Kemar Roach",230553
"168","7*","7","10","70.00","0","0","v India","North Sound","11 Jun 2011","ODI # 3161","Kemar Roach",230553
"169","4*","4","6","66.66","0","0","v India","North Sound","13 Jun 2011","ODI # 3162","Kemar Roach",230553
"170","DNB","-","-","-","-","-","v India","Kingston","16 Jun 2011","ODI # 3163","Kemar Roach",230553
"171","DNB","-","-","-","-","-","v Bangladesh","Dhaka","13 Oct 2011","ODI # 3198","Kemar Roach",230553
"172","DNB","-","-","-","-","-","v Bangladesh","Dhaka","15 Oct 2011","ODI # 3200","Kemar Roach",230553
"173","0*","0","18","0.00","0","0","v Bangladesh","Chattogram","18 Oct 2011","ODI # 3202","Kemar Roach",230553
"174","12*","12","15","80.00","1","0","v India","Cuttack","29 Nov 2011","ODI # 3217","Kemar Roach",230553
"175","24*","24","36","66.66","3","0","v India","Visakhapatnam","2 Dec 2011","ODI # 3219","Kemar Roach",230553
"176","DNB","-","-","-","-","-","v India","Ahmedabad","5 Dec 2011","ODI # 3221","Kemar Roach",230553
"177","7","7","19","36.84","1","0","v India","Indore","8 Dec 2011","ODI # 3223","Kemar Roach",230553
"178","0","0","15","0.00","0","0","v India","Chennai","11 Dec 2011","ODI # 3224","Kemar Roach",230553
"179","1*","1","7","14.28","0","0","v Australia","Kingstown","16 Mar 2012","ODI # 3262","Kemar Roach",230553
"180","DNB","-","-","-","-","-","v Australia","Kingstown","18 Mar 2012","ODI # 3264","Kemar Roach",230553
"181","9*","9","10","90.00","1","0","v Australia","Kingstown","20 Mar 2012","ODI # 3266","Kemar Roach",230553
"182","DNB","-","-","-","-","-","v Australia","Gros Islet","23 Mar 2012","ODI # 3268","Kemar Roach",230553
"183","2*","2","7","28.57","0","0","v Australia","Gros Islet","25 Mar 2012","ODI # 3269","Kemar Roach",230553
"184","3*","3","9","33.33","0","0","v Bangladesh","Khulna","30 Nov 2012","ODI # 3309","Kemar Roach",230553
"185","3*","3","7","42.85","0","0","v Bangladesh","Dhaka","7 Dec 2012","ODI # 3312","Kemar Roach",230553
"186","0","0","2","0.00","0","0","v Bangladesh","Dhaka","8 Dec 2012","ODI # 3313","Kemar Roach",230553
"187","1*","1","2","50.00","0","0","v Australia","Perth","1 Feb 2013","ODI # 3330","Kemar Roach",230553
"188","0*","0","0","-","0","0","v Australia","Perth","3 Feb 2013","ODI # 3331","Kemar Roach",230553
"189","1*","1","1","100.00","0","0","v Australia","Canberra","6 Feb 2013","ODI # 3332","Kemar Roach",230553
"190","2*","2","4","50.00","0","0","v Australia","Melbourne","10 Feb 2013","ODI # 3334","Kemar Roach",230553
"191","DNB","-","-","-","-","-","v Zimbabwe","St George's","22 Feb 2013","ODI # 3337","Kemar Roach",230553
"192","DNB","-","-","-","-","-","v Zimbabwe","St George's","24 Feb 2013","ODI # 3339","Kemar Roach",230553
